id	length	gene	biotype	chr
ENSG00000175756	1072	AURKAIP1	protein_coding	chr1
ENSG00000223663	367	NDUFB4P8	processed_pseudogene	chr1
ENSG00000221978	4452	CCNL2	protein_coding	chr1
ENSG00000224870	2228	MRPL20-AS1	lncRNA	chr1
ENSG00000242485	1693	MRPL20	protein_coding	chr1
ENSG00000264293	293	RN7SL657P	misc_RNA	chr1
ENSG00000272455	1523	MRPL20-DT	lncRNA	chr1
ENSG00000235098	2024	ANKRD65	protein_coding	chr1
ENSG00000225905	543	AL391244.1	lncRNA	chr1
ENSG00000205116	492	TMEM88B	protein_coding	chr1
ENSG00000225285	634	LINC01770	lncRNA	chr1
ENSG00000179403	4492	VWA1	protein_coding	chr1
ENSG00000215915	3864	ATAD3C	protein_coding	chr1
ENSG00000160072	4314	ATAD3B	protein_coding	chr1
ENSG00000284740	660	AL645728.2	transcribed_unprocessed_pseudogene	chr1
ENSG00000197785	2612	ATAD3A	protein_coding	chr1
ENSG00000205090	1381	TMEM240	protein_coding	chr1
ENSG00000160075	4176	SSU72	protein_coding	chr1
ENSG00000215014	2101	AL645728.1	lncRNA	chr1
ENSG00000274481	400	AL691432.3	processed_pseudogene	chr1
ENSG00000228594	2124	FNDC10	protein_coding	chr1
ENSG00000286989	1830	AL691432.4	lncRNA	chr1
ENSG00000272106	2038	AL691432.2	lncRNA	chr1
ENSG00000197530	4247	MIB2	protein_coding	chr1
ENSG00000189409	1531	MMP23B	protein_coding	chr1
ENSG00000248333	2992	CDK11B	protein_coding	chr1
ENSG00000272004	400	FO704657.1	lncRNA	chr1
ENSG00000189339	6434	SLC35E2B	protein_coding	chr1
ENSG00000269737	1422	AL691432.1	transcribed_processed_pseudogene	chr1
ENSG00000215914	1017	MMP23A	unprocessed_pseudogene	chr1
ENSG00000008128	2984	CDK11A	protein_coding	chr1
ENSG00000268575	5079	AL031282.2	lncRNA	chr1
ENSG00000227775	1808	AL031282.1	transcribed_processed_pseudogene	chr1
ENSG00000215790	2078	SLC35E2A	transcribed_unprocessed_pseudogene	chr1
ENSG00000008130	3653	NADK	protein_coding	chr1
ENSG00000078369	3163	GNB1	protein_coding	chr1
ENSG00000231050	906	AL109917.1	lncRNA	chr1
ENSG00000169885	1882	CALML6	protein_coding	chr1
ENSG00000178821	1118	TMEM52	protein_coding	chr1
ENSG00000142609	5247	CFAP74	protein_coding	chr1
ENSG00000233542	1954	AL391845.2	lncRNA	chr1
ENSG00000187730	2393	GABRD	protein_coding	chr1
ENSG00000226969	437	AL391845.1	lncRNA	chr1
ENSG00000067606	2385	PRKCZ	protein_coding	chr1
ENSG00000271806	4196	AL590822.2	lncRNA	chr1
ENSG00000182873	1253	PRKCZ-AS1	lncRNA	chr1
ENSG00000162585	4478	FAAP20	protein_coding	chr1
ENSG00000234396	326	AL590822.1	lncRNA	chr1
ENSG00000157933	6083	SKI	protein_coding	chr1
ENSG00000287356	5675	AL590822.3	lncRNA	chr1
ENSG00000116151	4764	MORN1	protein_coding	chr1
ENSG00000272161	493	AL589739.1	lncRNA	chr1
ENSG00000269896	2407	AL513477.1	transcribed_processed_pseudogene	chr1
ENSG00000272420	568	AL513477.2	lncRNA	chr1
ENSG00000157916	3028	RER1	protein_coding	chr1
ENSG00000157911	2905	PEX10	protein_coding	chr1
ENSG00000149527	6986	PLCH2	protein_coding	chr1
ENSG00000224387	455	AL139246.1	lncRNA	chr1
ENSG00000229393	514	AL139246.4	lncRNA	chr1
ENSG00000157881	2641	PANK4	protein_coding	chr1
ENSG00000197921	1324	HES5	protein_coding	chr1
ENSG00000272449	1531	AL139246.5	lncRNA	chr1
ENSG00000238164	3608	TNFRSF14-AS1	lncRNA	chr1
ENSG00000157873	4255	TNFRSF14	protein_coding	chr1
ENSG00000225931	1297	AL139246.2	TEC	chr1
ENSG00000228037	626	AL139246.3	lncRNA	chr1
ENSG00000157870	2827	PRXL2B	protein_coding	chr1
ENSG00000142606	2879	MMEL1	protein_coding	chr1
ENSG00000237058	373	MMEL1-AS1	lncRNA	chr1
ENSG00000215912	8814	TTC34	protein_coding	chr1
ENSG00000285945	593	AC242022.2	lncRNA	chr1
ENSG00000283259	1565	AC242022.1	lncRNA	chr1
ENSG00000233234	607	AL592464.2	lncRNA	chr1
ENSG00000287396	663	AL592464.3	lncRNA	chr1
ENSG00000231630	429	AL592464.1	lncRNA	chr1
ENSG00000284745	1509	AL589702.1	lncRNA	chr1
ENSG00000169717	1437	ACTRT2	protein_coding	chr1
ENSG00000177133	4247	PRDM16-DT	lncRNA	chr1
ENSG00000142611	8698	PRDM16	protein_coding	chr1
ENSG00000283572	61	MIR4251	miRNA	chr1
ENSG00000226286	469	AL008733.1	lncRNA	chr1
ENSG00000279839	2677	AL512383.1	TEC	chr1
ENSG00000272235	3461	AL590438.1	lncRNA	chr1
ENSG00000287828	728	AL354743.2	lncRNA	chr1
ENSG00000286518	2784	AL354743.1	lncRNA	chr1
ENSG00000130762	2822	ARHGEF16	protein_coding	chr1
ENSG00000272088	382	AL512413.1	lncRNA	chr1
ENSG00000162591	7443	MEGF6	protein_coding	chr1
ENSG00000207776	96	MIR551A	miRNA	chr1
ENSG00000238260	622	AL513320.1	lncRNA	chr1
ENSG00000158109	2401	TPRG1L	protein_coding	chr1
ENSG00000116213	6089	WRAP73	protein_coding	chr1
ENSG00000078900	5192	TP73	protein_coding	chr1
ENSG00000227589	754	TP73-AS3	lncRNA	chr1
ENSG00000235131	351	TP73-AS2	lncRNA	chr1
ENSG00000227372	6358	TP73-AS1	transcribed_unitary_pseudogene	chr1
ENSG00000276189	161	AL136528.1	misc_RNA	chr1
ENSG00000162592	2685	CCDC27	protein_coding	chr1
ENSG00000235169	547	SMIM1	protein_coding	chr1
ENSG00000130764	4303	LRRC47	protein_coding	chr1
ENSG00000266075	297	RN7SL574P	misc_RNA	chr1
ENSG00000272153	531	AL365330.1	lncRNA	chr1
ENSG00000116198	7766	CEP104	protein_coding	chr1
ENSG00000169598	3152	DFFB	protein_coding	chr1
ENSG00000198912	3499	C1orf174	protein_coding	chr1
ENSG00000236423	3059	LINC01134	lncRNA	chr1
ENSG00000233304	3242	LINC01346	lncRNA	chr1
ENSG00000226374	1646	LINC01345	lncRNA	chr1
ENSG00000284668	1258	LINC02780	lncRNA	chr1
ENSG00000284703	4817	AL805961.1	lncRNA	chr1
ENSG00000229280	372	EEF1DP6	processed_pseudogene	chr1
ENSG00000235054	2077	LINC01777	lncRNA	chr1
ENSG00000284694	3402	AL355602.1	lncRNA	chr1
ENSG00000227169	356	Z98747.1	lncRNA	chr1
ENSG00000232596	1531	LINC01646	lncRNA	chr1
ENSG00000196581	12102	AJAP1	protein_coding	chr1
ENSG00000287586	3030	Z98886.1	lncRNA	chr1
ENSG00000284739	464	BX005132.1	lncRNA	chr1
ENSG00000284674	1580	LINC02781	lncRNA	chr1
ENSG00000231510	449	LINC02782	lncRNA	chr1
ENSG00000284616	1225	AL139823.1	lncRNA	chr1
ENSG00000284692	2210	Z98259.3	lncRNA	chr1
ENSG00000284666	609	Z98259.2	lncRNA	chr1
ENSG00000260972	1697	Z98259.1	lncRNA	chr1
ENSG00000283356	135	Z97988.2	unprocessed_pseudogene	chr1
ENSG00000236948	847	AL365255.1	lncRNA	chr1
ENSG00000264341	73	Z97988.1	miRNA	chr1
ENSG00000264101	70	MIR4689	miRNA	chr1
ENSG00000131697	5548	NPHP4	protein_coding	chr1
ENSG00000069424	5979	KCNAB2	protein_coding	chr1
ENSG00000116254	9850	CHD5	protein_coding	chr1
ENSG00000285629	663	AL031847.1	protein_coding	chr1
ENSG00000116251	2279	RPL22	protein_coding	chr1
ENSG00000226944	378	RNF207-AS1	lncRNA	chr1
ENSG00000158286	3981	RNF207	protein_coding	chr1
ENSG00000116237	4795	ICMT	protein_coding	chr1
ENSG00000225077	2040	LINC00337	lncRNA	chr1
ENSG00000173673	710	HES3	protein_coding	chr1
ENSG00000158292	4198	GPR153	protein_coding	chr1
ENSG00000097021	1813	ACOT7	protein_coding	chr1
ENSG00000271746	837	AL031848.2	lncRNA	chr1
ENSG00000069812	4262	HES2	protein_coding	chr1
ENSG00000187017	4731	ESPN	protein_coding	chr1
ENSG00000265392	63	MIR4252	miRNA	chr1
ENSG00000231868	351	AL031848.1	lncRNA	chr1
ENSG00000215788	3483	TNFRSF25	protein_coding	chr1
ENSG00000171680	4191	PLEKHG5	protein_coding	chr1
ENSG00000162408	6627	NOL9	protein_coding	chr1
ENSG00000253022	111	RNU6-731P	snRNA	chr1
ENSG00000229519	401	AL591866.1	processed_pseudogene	chr1
ENSG00000173662	2764	TAS1R1	protein_coding	chr1
ENSG00000204859	2484	ZBTB48	protein_coding	chr1
ENSG00000162413	6445	KLHL21	protein_coding	chr1
ENSG00000116273	3632	PHF13	protein_coding	chr1
ENSG00000041988	2053	THAP3	protein_coding	chr1
ENSG00000007923	3201	DNAJC11	protein_coding	chr1
ENSG00000228750	1686	LINC01672	lncRNA	chr1
ENSG00000284744	987	AL591163.1	lncRNA	chr1
ENSG00000237436	415	CAMTA1-DT	lncRNA	chr1
ENSG00000171735	8314	CAMTA1	protein_coding	chr1
ENSG00000227950	286	AL590128.1	processed_pseudogene	chr1
ENSG00000237365	349	AL512330.1	lncRNA	chr1
ENSG00000207056	165	RNU1-8P	snRNA	chr1
ENSG00000237402	365	CAMTA1-IT1	lncRNA	chr1
ENSG00000237728	433	CAMTA1-AS2	lncRNA	chr1
ENSG00000225126	361	CAMTA1-AS1	lncRNA	chr1
ENSG00000270171	1721	AL359881.3	lncRNA	chr1
ENSG00000270035	570	AL359881.2	lncRNA	chr1
ENSG00000269978	267	AL359881.1	lncRNA	chr1
ENSG00000049245	2178	VAMP3	protein_coding	chr1
ENSG00000269925	393	Z98884.2	lncRNA	chr1
ENSG00000049246	6318	PER3	protein_coding	chr1
ENSG00000236266	830	Z98884.1	lncRNA	chr1
ENSG00000049247	1601	UTS2	protein_coding	chr1
ENSG00000049249	5970	TNFRSF9	protein_coding	chr1
ENSG00000270330	355	AL009183.1	processed_pseudogene	chr1
ENSG00000116288	1127	PARK7	protein_coding	chr1
ENSG00000200344	103	Y_RNA	misc_RNA	chr1
ENSG00000284747	2236	AL034417.4	lncRNA	chr1
ENSG00000284716	1043	AL034417.3	lncRNA	chr1
ENSG00000116285	3097	ERRFI1	protein_coding	chr1
ENSG00000238290	2044	AL034417.2	lncRNA	chr1
ENSG00000232848	800	AL034417.1	processed_pseudogene	chr1
ENSG00000229305	1075	AL358876.1	processed_pseudogene	chr1
ENSG00000227634	896	LINC01714	lncRNA	chr1
ENSG00000200975	164	RNU1-7P	snRNA	chr1
ENSG00000233645	477	AL358876.2	lncRNA	chr1
ENSG00000251977	107	RNU6-991P	snRNA	chr1
ENSG00000162426	2496	SLC45A1	protein_coding	chr1
ENSG00000252254	113	Y_RNA	misc_RNA	chr1
ENSG00000142599	8026	RERE	protein_coding	chr1
ENSG00000232912	1052	RERE-AS1	lncRNA	chr1
ENSG00000221083	125	AL096855.1	snoRNA	chr1
ENSG00000270282	369	AL096855.2	processed_pseudogene	chr1
ENSG00000234619	658	RPL7P11	processed_pseudogene	chr1
ENSG00000224315	703	RPL7P7	processed_pseudogene	chr1
ENSG00000222511	103	Y_RNA	misc_RNA	chr1
ENSG00000226545	415	AL357552.1	unprocessed_pseudogene	chr1
ENSG00000228423	353	AL357552.2	lncRNA	chr1
ENSG00000229716	369	RPL23AP19	processed_pseudogene	chr1
ENSG00000074800	2548	ENO1	protein_coding	chr1
ENSG00000274258	89	MIR6728	miRNA	chr1
ENSG00000230679	456	ENO1-AS1	lncRNA	chr1
ENSG00000201725	107	RNU6-304P	snRNA	chr1
ENSG00000238249	743	HMGN2P17	processed_pseudogene	chr1
ENSG00000232208	352	AL139415.1	processed_pseudogene	chr1
ENSG00000232663	163	AL139415.2	processed_pseudogene	chr1
ENSG00000131686	1493	CA6	protein_coding	chr1
ENSG00000265141	299	RN7SL451P	misc_RNA	chr1
ENSG00000197241	1539	SLC2A7	protein_coding	chr1
ENSG00000142583	4085	SLC2A5	protein_coding	chr1
ENSG00000252404	184	AL158048.1	scaRNA	chr1
ENSG00000180758	5197	GPR157	protein_coding	chr1
ENSG00000228526	4457	MIR34AHG	lncRNA	chr1
ENSG00000284357	110	MIR34A	miRNA	chr1
ENSG00000234546	1265	LNCTAM34A	lncRNA	chr1
ENSG00000049239	9147	H6PD	protein_coding	chr1
ENSG00000171621	3106	SPSB1	protein_coding	chr1
ENSG00000284652	1765	BX323043.1	lncRNA	chr1
ENSG00000284693	2442	LINC02606	lncRNA	chr1
ENSG00000252956	110	RNA5SP40	rRNA_pseudogene	chr1
ENSG00000235263	708	AL928921.1	lncRNA	chr1
ENSG00000171612	3865	SLC25A33	protein_coding	chr1
ENSG00000231181	559	AL954705.1	processed_pseudogene	chr1
ENSG00000188807	3851	TMEM201	protein_coding	chr1
ENSG00000171608	5483	PIK3CD	protein_coding	chr1
ENSG00000179840	1823	PIK3CD-AS1	lncRNA	chr1
ENSG00000233268	421	AL691449.1	processed_pseudogene	chr1
ENSG00000231789	939	PIK3CD-AS2	lncRNA	chr1
ENSG00000171603	4760	CLSTN1	protein_coding	chr1
ENSG00000271264	246	MZT1P1	processed_pseudogene	chr1
ENSG00000280113	1983	AL357140.3	TEC	chr1
ENSG00000178585	3006	CTNNBIP1	protein_coding	chr1
ENSG00000223989	424	AL357140.1	lncRNA	chr1
ENSG00000285701	762	AL357140.4	lncRNA	chr1
ENSG00000162441	4989	LZIC	protein_coding	chr1
ENSG00000228150	440	AL357140.2	lncRNA	chr1
ENSG00000173614	3734	NMNAT1	protein_coding	chr1
ENSG00000202415	319	RN7SKP269	misc_RNA	chr1
ENSG00000283611	444	TMEM274P	unitary_pseudogene	chr1
ENSG00000265521	78	MIR5697	miRNA	chr1
ENSG00000241326	436	AL603962.1	lncRNA	chr1
ENSG00000162444	861	RBP7	protein_coding	chr1
ENSG00000130939	6184	UBE4B	protein_coding	chr1
ENSG00000224340	337	AL590639.1	processed_pseudogene	chr1
ENSG00000233623	680	PGAM1P11	processed_pseudogene	chr1
ENSG00000201746	107	RNU6-828P	snRNA	chr1
ENSG00000054523	10855	KIF1B	protein_coding	chr1
ENSG00000264881	86	AL358013.1	miRNA	chr1
ENSG00000199562	107	RNU6-37P	snRNA	chr1
ENSG00000264501	293	RN7SL731P	misc_RNA	chr1
ENSG00000284735	1392	AL139424.3	lncRNA	chr1
ENSG00000284642	1369	AL139424.2	lncRNA	chr1
ENSG00000142657	2268	PGD	protein_coding	chr1
ENSG00000271989	797	AL139424.1	lncRNA	chr1
ENSG00000251503	1469	CENPS-CORT	protein_coding	chr1
ENSG00000175279	914	CENPS	protein_coding	chr1
ENSG00000241563	914	CORT	protein_coding	chr1
ENSG00000160049	6035	DFFA	protein_coding	chr1
ENSG00000203469	467	AL354956.1	lncRNA	chr1
ENSG00000142655	1922	PEX14	protein_coding	chr1
ENSG00000287727	2876	AL139423.2	lncRNA	chr1
ENSG00000243267	280	RN7SL614P	misc_RNA	chr1
ENSG00000130940	7934	CASZ1	protein_coding	chr1
ENSG00000272078	7923	AL139423.1	lncRNA	chr1
ENSG00000225158	238	HSPE1P24	processed_pseudogene	chr1
ENSG00000175262	2761	C1orf127	protein_coding	chr1
ENSG00000215785	494	CFL1P6	processed_pseudogene	chr1
ENSG00000120948	4185	TARDBP	protein_coding	chr1
ENSG00000009724	2455	MASP2	protein_coding	chr1
ENSG00000116649	1260	SRM	protein_coding	chr1
ENSG00000171824	2796	EXOSC10	protein_coding	chr1
ENSG00000226849	2682	AL109811.1	lncRNA	chr1
ENSG00000230337	487	EXOSC10-AS1	lncRNA	chr1
ENSG00000198793	8721	MTOR	protein_coding	chr1
ENSG00000225602	705	MTOR-AS1	lncRNA	chr1
ENSG00000253086	103	RNU6-537P	snRNA	chr1
ENSG00000171819	2224	ANGPTL7	protein_coding	chr1
ENSG00000207451	107	RNU6-291P	snRNA	chr1
ENSG00000238173	150	RPL39P6	processed_pseudogene	chr1
ENSG00000120942	3654	UBIAD1	protein_coding	chr1
ENSG00000238199	437	UBE2V2P3	processed_pseudogene	chr1
ENSG00000284646	742	AL031291.1	lncRNA	chr1
ENSG00000224338	565	MTCYBP45	processed_pseudogene	chr1
ENSG00000204624	5265	DISP3	protein_coding	chr1
ENSG00000285833	1051	AL590989.1	lncRNA	chr1
ENSG00000235643	1351	LINC01647	lncRNA	chr1
ENSG00000284708	2094	AL031731.1	lncRNA	chr1
ENSG00000116661	2215	FBXO2	protein_coding	chr1
ENSG00000132879	3320	FBXO44	protein_coding	chr1
ENSG00000116663	1444	FBXO6	protein_coding	chr1
ENSG00000116670	1860	MAD2L2	protein_coding	chr1
ENSG00000162490	7365	DRAXIN	protein_coding	chr1
ENSG00000177674	1130	AGTRAP	protein_coding	chr1
ENSG00000215910	4545	C1orf167	protein_coding	chr1
ENSG00000177553	1868	C1orf167-AS1	lncRNA	chr1
ENSG00000177000	8378	MTHFR	protein_coding	chr1
ENSG00000011021	5631	CLCN6	protein_coding	chr1
ENSG00000276470	173	AL021155.2	misc_RNA	chr1
ENSG00000278852	149	AL021155.3	misc_RNA	chr1
ENSG00000175206	855	NPPA	protein_coding	chr1
ENSG00000275915	108	AL021155.1	misc_RNA	chr1
ENSG00000120937	708	NPPB	protein_coding	chr1
ENSG00000224904	2637	SBF1P2	processed_pseudogene	chr1
ENSG00000285646	1715	AL021155.4	lncRNA	chr1
ENSG00000199347	120	RNU5E-1	snRNA	chr1
ENSG00000201801	120	RNU5E-4P	snRNA	chr1
ENSG00000116685	2819	KIAA2013	protein_coding	chr1
ENSG00000083444	2976	PLOD1	protein_coding	chr1
ENSG00000287384	595	AL096840.2	lncRNA	chr1
ENSG00000116688	4772	MFN2	protein_coding	chr1
ENSG00000270914	93	AL096840.1	processed_pseudogene	chr1
ENSG00000116691	1709	MIIP	protein_coding	chr1
ENSG00000202461	113	Y_RNA	misc_RNA	chr1
ENSG00000276869	65	MIR6729	miRNA	chr1
ENSG00000243539	275	RN7SL649P	misc_RNA	chr1
ENSG00000120949	3760	TNFRSF8	protein_coding	chr1
ENSG00000201135	104	RNU6-777P	snRNA	chr1
ENSG00000227875	255	RPL23AP89	processed_pseudogene	chr1
ENSG00000285604	1196	AL357835.1	lncRNA	chr1
ENSG00000283789	96	MIR7846	miRNA	chr1
ENSG00000028137	3687	TNFRSF1B	protein_coding	chr1
ENSG00000263676	61	MIR4632	miRNA	chr1
ENSG00000225196	316	RPL10P17	processed_pseudogene	chr1
ENSG00000252969	124	SNORA70	snoRNA	chr1
ENSG00000048707	16357	VPS13D	protein_coding	chr1
ENSG00000239149	152	SNORA59A	snoRNA	chr1
ENSG00000229484	438	LINC02766	lncRNA	chr1
ENSG00000162496	2201	DHRS3	protein_coding	chr1
ENSG00000221340	101	RNU6ATAC18P	snRNA	chr1
ENSG00000276830	67	MIR6730	miRNA	chr1
ENSG00000272482	345	AC254633.1	lncRNA	chr1
ENSG00000204518	2027	AADACL4	protein_coding	chr1
ENSG00000226166	112	AC244670.1	processed_pseudogene	chr1
ENSG00000188984	4055	AADACL3	protein_coding	chr1
ENSG00000157330	3564	C1orf158	protein_coding	chr1
ENSG00000116726	2889	PRAMEF12	protein_coding	chr1
ENSG00000116721	2160	PRAMEF1	protein_coding	chr1
ENSG00000228338	378	LINC01784	lncRNA	chr1
ENSG00000239810	1845	PRAMEF11	protein_coding	chr1
ENSG00000231103	1417	PRAMEF30P	unprocessed_pseudogene	chr1
ENSG00000179172	1134	HNRNPCL1	protein_coding	chr1
ENSG00000120952	1642	PRAMEF2	protein_coding	chr1
ENSG00000243073	1840	PRAMEF4	protein_coding	chr1
ENSG00000187545	1525	PRAMEF10	protein_coding	chr1
ENSG00000204510	1592	PRAMEF7	protein_coding	chr1
ENSG00000207434	107	RNU6-1072P	snRNA	chr1
ENSG00000234064	1139	PRAMEF29P	unprocessed_pseudogene	chr1
ENSG00000232423	1720	PRAMEF6	protein_coding	chr1
ENSG00000274178	1450	PRAMEF28P	unprocessed_pseudogene	chr1
ENSG00000274764	1947	PRAMEF27	protein_coding	chr1
ENSG00000277058	1897	HNRNPCL3	protein_coding	chr1
ENSG00000229571	1863	PRAMEF25	protein_coding	chr1
ENSG00000277862	1447	PRAMEF34P	unprocessed_pseudogene	chr1
ENSG00000236179	891	PRAMEF35P	unprocessed_pseudogene	chr1
ENSG00000275774	1156	HNRNPCL2	protein_coding	chr1
ENSG00000229978	1452	PRAMEF36P	transcribed_unprocessed_pseudogene	chr1
ENSG00000233336	384	AC245056.1	lncRNA	chr1
ENSG00000280267	1863	PRAMEF26	protein_coding	chr1
ENSG00000179412	1718	HNRNPCL4	protein_coding	chr1
ENSG00000204505	2465	PRAMEF9	protein_coding	chr1
ENSG00000279169	2163	PRAMEF13	protein_coding	chr1
ENSG00000279804	2067	PRAMEF18	protein_coding	chr1
ENSG00000250894	1371	PRAMEF31P	unprocessed_pseudogene	chr1
ENSG00000270601	1720	PRAMEF5	protein_coding	chr1
ENSG00000231219	1068	PRAMEF32P	unprocessed_pseudogene	chr1
ENSG00000207511	107	RNU6-771P	snRNA	chr1
ENSG00000182330	1844	PRAMEF8	protein_coding	chr1
ENSG00000237700	1518	PRAMEF33	protein_coding	chr1
ENSG00000204501	1865	PRAMEF15	protein_coding	chr1
ENSG00000228229	384	AC243961.1	lncRNA	chr1
